Name,Market Cap,Alpha,Beta,5Y CAGR,D/E,EPS (Q),SCORE,Capability,b,c,d,e,f,g
TATAINVEST,"27,007.52",47.62,0.83,41.07,0,3.88,25,M,2,5,4,5,5,4
NH,"26,991.97",22.79,0.8,30.73,0.56,9.78,25,M,2,5,4,5,4,5
ENDURANCE,"26,922.87",7.9,1.12,12.2,0.15,13.11,23,M,2,5,3,3,5,5
IGL,"26,741.43",-3.22,0.8,-5.08,0.01,2.33,16,HR,2,1,4,1,5,3
NIACL,"26,723.97",6.94,0.73,2.69,0,2.12,20,R,2,5,4,1,5,3
APOLLOTYRE,"26,718.70",15.08,1.44,21.14,0.35,5.31,25,M,2,5,3,5,5,5
KAYNES,"26,488.62",78.35,-,-,0.13,10.39,23,M,2,5,1,5,5,5
PPLPHARMA,"26,482.37",8.93,-,-,0.6,0.03,19,R,2,5,1,5,4,2
JBCHEPHARM,"26,199.44",23.56,0.24,41.96,0.13,10.46,27,S,2,5,5,5,5,5
GILLETTE,"25,923.82",13.3,0.24,4.59,0,38.66,23,M,2,5,5,1,5,5
GODFRYPHLP,"25,909.14",52.21,0.52,29.52,0.08,47.92,26,S,2,5,4,5,5,5
AEGISLOG,"25,859.93",43.1,1.17,26.41,0.6,3.54,23,M,2,5,3,5,4,4
CDSL,"25,644.30",10.37,0.83,53.83,0,6.23,26,S,2,5,4,5,5,5
BRIGADE,"25,077.72",16.84,1.36,34.91,1.54,9.98,23,M,2,5,3,5,3,5
FSL,"24,938.65",29.59,1.52,53.57,0.41,2.33,22,M,2,5,2,5,5,3
GLAND,"24,319.83",-22,0.71,-,0.04,12.42,22,M,2,1,4,5,5,5
JYOTICNC,"24,225.11",-,-,-,0.22,3.53,22,M,2,5,1,5,5,4
SUMICHEM,"24,143.68",6.22,0.79,12.86,0.01,1.74,22,M,2,5,4,3,5,3
KIMS,"23,672.22",26.31,0.46,-,0.65,2.22,24,M,2,5,5,5,4,3
SUNTV,"23,562.32",1.3,1.06,3.68,0,9.22,19,R,2,3,3,1,5,5
EMAMILTD,"23,555.72",1.33,1.05,13.55,0.04,6.39,21,M,2,3,3,3,5,5
STARHEALTH,"23,339.68",-20.98,-,-,0.07,3.66,18,R,2,1,1,5,5,4
ABREL,"23,207.90",24.62,1.19,28.69,0.61,-3.64,20,R,2,5,3,5,4,1
NBCC,"23,152.50",33.15,1.62,32.2,0,0.51,21,M,2,5,2,5,5,2
POONAWALLA,"23,087.40",0.91,2.33,40.3,1.86,0.24,16,HR,2,3,1,5,3,2
INOXWIND,"22,972.85",58.13,1.87,79.95,1.48,0.89,19,R,2,5,2,5,3,2
MSUMI,"22,715.65",-1.52,-,-,0.15,0.32,17,R,2,2,1,5,5,2
BANDHANBNK,"22,600.32",-31.63,1.73,-20.87,0,2.65,14,HR,2,1,2,1,5,3
POLYMED,"22,518.63",38.27,0.46,49.28,0.12,8.48,27,S,2,5,5,5,5,5
TATACHEM,"22,119.21",-5.01,1.39,2.68,0.24,-2.08,13,HR,2,1,3,1,5,1
CONCORDBIO,"22,091.80",-,-,-,0.01,9.15,23,M,2,5,1,5,5,5
CROMPTON,"22,032.31",-5.65,0.67,4.24,0.2,1.71,16,HR,2,1,4,1,5,3
LALPATHLAB,"21,866.86",-4.28,0.78,9.96,0.13,11.6,19,R,2,1,4,2,5,5
AFFLE,"21,846.94",2.06,1.68,31.35,0.07,7.15,22,M,2,3,2,5,5,5
HINDCOPPER,"21,844.11",16.15,2.08,40.44,0.1,0.65,20,R,2,5,1,5,5,2
MANYAVAR,"21,705.11",-3.37,-,-,0.28,2.75,17,R,2,1,1,5,5,3
HSCL,"21,680.01",65.79,1.65,49.53,0.2,2.88,22,M,2,5,2,5,5,3
PEL,"21,658.76",-15.56,1.38,-8.84,2.02,1.71,12,HR,2,1,3,1,2,3
ASTERDM,"21,454.29",36.7,1.27,19.78,0.28,1.14,22,M,2,5,3,4,5,3
CHAMBLFERT,"21,444.91",5.8,1.42,27.31,0.24,13.34,25,M,2,5,3,5,5,5
FIVESTAR,"21,250.42",22.46,-,-,1.22,9.36,21,M,2,5,1,5,3,5
DELHIVERY,"20,977.25",-27.22,-,-,0.13,0.34,16,HR,2,1,1,5,5,2
EIHOTEL,"20,962.21",24.61,1.31,19.15,0.05,4.23,23,M,2,5,3,4,5,4
PNBHOUSING,"20,948.22",23.25,1.4,18.75,3.67,18.6,20,R,2,5,3,4,1,5
ANGELONE,"20,876.44",14.72,1.04,17.39,0.84,31.25,23,M,2,5,3,4,4,5
WELCORP,"20,803.99",51.58,1.39,30.62,0.34,25.73,25,M,2,5,3,5,5,5
AMBER,"20,780.15",24.5,0.18,30.78,0.73,10.61,26,S,2,5,5,5,4,5
PTCIL,"20,759.31",-,-,150.99,0.28,11.85,23,M,2,5,1,5,5,5
KEC,"20,663.78",17.82,1.02,17.67,0.97,4.87,22,M,2,5,3,4,4,4
SUNDRMFAST,"20,629.35",-0.11,1.22,15.51,0.19,6.21,21,M,2,2,3,4,5,5
ZFCVINDIA,"20,587.04",15.01,0.27,9.63,0,66.15,24,M,2,5,5,2,5,5
SHYAMMETL,"20,569.29",23.2,1.27,-,0.06,7.1,25,M,2,5,3,5,5,5
CASTROLIND,"20,457.03",16.87,1.22,5.7,0.04,2.74,20,R,2,5,3,2,5,3
ANANTRAJ,"20,431.39",69.07,1.17,78.31,0.17,3.23,24,M,2,5,3,5,5,4
NAVINFLUOR,"20,373.85",-1.75,0.84,29.02,0.57,16.86,22,M,2,2,4,5,4,5
RAMCOCEM,"20,363.68",-5.39,0.84,1.74,0.68,7.62,17,R,2,1,4,1,4,5
MRPL,"20,246.02",40.81,1.2,22.2,0.96,1.76,22,M,2,5,3,5,4,3
EMCURE,"20,164.07",-,-,-,0.75,8.12,22,M,2,5,1,5,4,5
TIMKEN,"20,006.68",8.07,0.9,21.19,0.01,9.88,26,S,2,5,4,5,5,5
NUVAMA,"19,747.32",-,-,-,2.33,70.41,20,R,2,5,1,5,2,5
BAYERCROP,"19,635.42",-4.49,0.71,0.08,0.02,7.61,18,R,2,1,4,1,5,5
ZENSARTECH,"19,631.82",24.82,1.35,41.63,0.05,7.04,25,M,2,5,3,5,5,5
CARBORUNIV,"19,568.10",3.61,1.12,24.66,0.05,6.09,24,M,2,4,3,5,5,5
DEVYANI,"19,373.84",-7.6,1.18,-,2.15,0,14,HR,2,1,3,5,2,1
REDINGTON,"19,118.29",11.23,1,32.49,0.38,5.12,26,S,2,5,4,5,5,5
PFIZER,"19,072.46",-3.29,0.49,-1.9,0.01,27.89,19,R,2,1,5,1,5,5
ABSLAMC,"18,995.88",6.57,1.02,-,0.02,7.78,25,M,2,5,3,5,5,5
KANSAINER,"18,974.20",-16.61,0.94,-6.84,0.05,8.42,18,R,2,1,4,1,5,5
ASTRAZEN,"18,487.63",32.06,0.43,21.55,0.01,12.34,27,S,2,5,5,5,5,5
BASF,"18,384.06",17.4,0.57,37.06,0.05,23.9,26,S,2,5,4,5,5,5
GRINDWELL,"18,282.64",-2.4,0.98,21.47,0.04,7.84,23,M,2,2,4,5,5,5
SKFINDIA,"18,174.63",-3.5,0.7,12.56,0,22.1,20,R,2,1,4,3,5,5
KARURVYSYA,"18,127.05",43.06,1.92,35.39,0,6.16,24,M,2,5,2,5,5,5
TRITURBINE,"18,001.37",36.83,1.39,43.5,0,2.92,23,M,2,5,3,5,5,3
ARE&M,"17,994.14",9.85,1.15,5.18,0.02,16.3,22,M,2,5,3,2,5,5
RATNAMANI,"17,797.76",17.52,0.92,23.96,0.05,19,26,S,2,5,4,5,5,5
NATCOPHARM,"17,464.11",2.94,0.71,7.67,0.06,7.43,21,M,2,3,4,2,5,5
ERIS,"17,222.40",18.82,0.71,19.23,0.86,6.15,24,M,2,5,4,4,4,5
KFINTECH,"17,198.14",49.84,-,-,0.04,5.25,23,M,2,5,1,5,5,5
CENTURYPLY,"17,186.19",0.25,1.19,36.99,0.35,2.63,21,M,2,3,3,5,5,3
SIGNATURE,"17,178.13",-,-,-,3.07,2.07,17,R,2,5,1,5,1,3
BATAINDIA,"17,141.72",-20.05,1.01,-5.96,0.89,4.57,15,HR,2,1,3,1,4,4
TBOTEK,"17,056.09",-,-,-,0.39,4.7,22,M,2,5,1,5,5,4
VINATIORGA,"17,054.55",-9.74,0.59,10.54,0,9.04,20,R,2,1,4,3,5,5
AADHARHFC,"16,936.17",-,-,-,3.14,5.56,19,R,2,5,1,5,1,5
CAMS,"16,848.28",9.54,0.7,-,0.11,25.45,26,S,2,5,4,5,5,5
KPIL,"16,774.13",27.17,1.29,20.13,0.78,8.67,24,M,2,5,3,5,4,5
CESC,"16,691.58",9.82,1.5,11.61,1.21,1.99,19,R,2,5,3,3,3,3
CREDITACC,"16,688.93",11.71,1.69,4.28,3.32,-6.24,12,HR,2,5,2,1,1,1
ELGIEQUIP,"16,651.18",11.42,1.18,35.15,0.4,2.55,23,M,2,5,3,5,5,3
GSPL,"16,590.64",1.02,0.93,4.33,0.01,4.15,19,R,2,3,4,1,5,4
ATUL,"16,460.00",-21.36,0.96,2.43,0.05,36.93,18,R,2,1,4,1,5,5
MANAPPURAM,"16,425.91",9.79,1.61,3.41,2.96,3.29,16,HR,2,5,2,1,2,4
BLS,"16,260.25",67.06,1.6,86.42,0.02,2.93,22,M,2,5,2,5,5,3
APLLTD,"16,231.20",5.37,0.75,5.26,0.11,7.01,23,M,2,5,4,2,5,5
CIEINDIA,"16,193.08",22.69,1.3,20.25,0.14,5.14,25,M,2,5,3,5,5,5
GRSE,"16,156.41",64.3,0.75,52.16,0.04,8.57,26,S,2,5,4,5,5,5
CYIENT,"15,955.59",14.28,1.49,26,0.17,11.11,24,M,1,5,3,5,5,5
SCHNEIDER,"15,888.46",55.73,1.08,46.21,0.8,4.62,22,M,1,5,3,5,4,4
IRCON,"15,738.59",46.54,0.93,25.95,0.44,0.92,22,M,1,5,4,5,5,2
AARTIIND,"15,677.17",-27.98,1.36,-2.29,0.61,1.27,13,HR,1,1,3,1,4,3
JINDALSAW,"15,629.53",55.4,1.17,43.09,0.61,7.96,23,M,1,5,3,5,4,5
ASAHIINDIA,"15,591.79",3.15,0.98,19.56,0.84,4.34,21,M,1,4,4,4,4,4
DOMS,"15,380.27",-,-,-,0.2,8.94,22,M,1,5,1,5,5,5
APTUS,"15,364.29",-9.98,0.99,-,1.38,3.82,18,R,1,1,4,5,3,4
CAPLIPOINT,"15,332.70",28.47,0.66,43,0,18.28,25,M,1,5,4,5,5,5
FINCABLES,"15,271.76",18.97,1.26,21.12,0,9.63,24,M,1,5,3,5,5,5
JUBLPHARMA,"15,212.42",22.69,1.91,12.63,0.68,6.37,20,R,1,5,2,3,4,5
SWANENERGY,"15,125.86",39.75,0.46,29.28,0.43,2.28,24,M,1,5,5,5,5,3
IEX,"15,081.50",-12.86,1.16,21.88,0.01,1.21,18,R,1,1,3,5,5,3
ANANDRATHI,"15,038.57",63.91,-,-,0.08,18.58,22,M,1,5,1,5,5,5
BIKAJI,"14,956.58",24.56,-,-,0.14,1.14,20,R,1,5,1,5,5,3
VGUARD,"14,941.55",11.59,0.62,11.08,0.22,1.38,21,M,1,5,4,3,5,3
JBMA,"14,906.23",30.78,0.84,68.05,1.78,2.23,21,M,1,5,4,5,3,3
KAJARIACER,"14,808.34",-14.8,1.09,11.28,0.09,4.88,17,R,1,1,3,3,5,4
CHALET,"14,739.19",29.87,0.94,13.96,1.37,4.42,20,R,1,5,4,3,3,4
ACE,"14,585.89",54.1,1.81,73,0,9.38,23,M,1,5,2,5,5,5
PCBL,"14,541.75",42.06,1.51,43.64,1.53,2.47,19,R,1,5,2,5,3,3
ECLERX,"14,479.57",20.77,1.18,49.18,0.12,29.16,24,M,1,5,3,5,5,5
TEJASNET,"14,456.60",19.36,1.55,63.25,0.6,9.44,22,M,1,5,2,5,4,5
INDGN,"14,396.91",-,-,-,0.34,4.59,21,M,1,5,1,5,5,4
BLUEDART,"14,383.52",-6.57,0.71,15.55,0.78,34.14,19,R,1,1,4,4,4,5
TRIDENT,"14,373.85",-27.12,0.82,37.74,0.49,0.15,18,R,1,1,4,5,5,2
GODREJAGRO,"14,172.55",9.02,0.77,5.77,0.48,5.8,22,M,1,5,4,2,5,5
IIFL,"14,072.72",0.1,1.47,10.19,3.91,0.96,13,HR,1,3,3,3,1,2
BSOFT,"14,035.18",-0.55,1.3,40.94,0.03,4.2,20,R,1,2,3,5,5,4
CLEAN,"14,028.74",-19.74,0.97,-,0,6.18,21,M,1,1,4,5,5,5
KIRLOSBROS,"13,956.52",60.68,1.34,66.02,0.11,14.76,24,M,1,5,3,5,5,5
EIDPARRY,"13,857.03",18.19,0.82,28.52,0.16,10.97,25,M,1,5,4,5,5,5
NEWGEN,"13,846.92",44.1,1.27,56.76,0.04,6.36,24,M,1,5,3,5,5,5
JWL,"13,834.39",73.53,0.96,87.01,0.21,2.29,23,M,1,5,4,5,5,3
CGCL,"13,691.16",7.84,0.41,26.12,2.71,1.55,21,M,1,5,5,5,2,3
HBLENGINE,"13,654.62",66.79,1.35,99.34,0.06,2.31,22,M,1,5,3,5,5,3
CELLO,"13,629.71",-,-,-,0.27,3.99,21,M,1,5,1,5,5,4
BBTC,"13,591.57",18.93,1.25,10.86,0.32,48.58,22,M,1,5,3,3,5,5
DEEPAKFERT,"13,483.46",19.96,1.01,60.77,0.76,19.86,23,M,1,5,3,5,4,5
AAVAS,"13,438.41",-22.61,1.08,-1.92,3.29,18,12,HR,1,1,3,1,1,5
TTML,"13,420.58",-23.36,0.98,81.35,-,-1.61,13,HR,1,1,4,5,1,1
JYOTHYLAB,"13,335.39",31.71,0.96,21.72,0.03,2.38,23,M,1,5,4,5,5,3
RAINBOW,"13,320.53",35.94,-,-,0.61,6.76,21,M,1,5,1,5,4,5
INDIAMART,"13,190.72",-8.17,0.82,12.59,0.02,20.18,19,R,1,1,4,3,5,5
HFCL,"13,157.11",2.36,1.81,40.11,0.25,0.51,18,R,1,3,2,5,5,2
GRANULES,"13,149.22",15.84,0.59,26.13,0.41,4.85,24,M,1,5,4,5,5,4
GESHIP,"13,019.65",33.6,1.08,26.19,0.25,41.58,24,M,1,5,3,5,5,5
WHIRLPOOL,"12,974.55",-15.91,0.76,-14.75,0.06,3.46,16,HR,1,1,4,1,5,4
RRKABEL,"12,870.02",-,-,-,0.2,6.07,22,M,1,5,1,5,5,5
MGL,"12,821.85",11.64,1.07,1.73,0.03,22.39,20,R,1,5,3,1,5,5
UTIAMC,"12,680.39",2.97,1.19,-,0,11.81,22,M,1,3,3,5,5,5
VTL,"12,664.41",-8.94,1.08,17.08,0.19,7.4,19,R,1,1,3,4,5,5
IFCI,"12,500.81",45.1,1.16,47.72,0.7,-0.12,19,R,1,5,3,5,4,1
MINDACORP,"12,462.83",30.7,1.36,35.23,0.27,2.75,22,M,1,5,3,5,5,3
NCC,"12,418.81",33.75,1.82,32.79,0.14,3.08,22,M,1,5,2,5,5,4
FINPIPE,"12,406.47",0.76,0.77,12.94,0.07,1.52,19,R,1,3,4,3,5,3
SANOFI,"12,379.42",6.52,0.67,3.05,0.02,35.69,21,M,1,5,4,1,5,5
SOBHA,"12,331.15",8.52,1.86,25.77,0.77,2.15,20,R,1,5,2,5,4,3
CUB,"12,296.66",1.79,1.18,-5.7,0,3.86,17,R,1,3,3,1,5,4
BEML,"12,240.36",23.42,1.5,25.55,0.03,5.86,24,M,1,5,3,5,5,5
FINEORG,"12,231.18",-2.36,0.33,12.17,0,26.97,21,M,1,2,5,3,5,5
RKFORGE,"12,004.14",40.18,1.51,58.66,0.45,5.51,23,M,1,5,2,5,5,5
SONATSOFTW,"11,947.05",8.58,1.64,27.77,0.54,3.78,21,M,1,5,2,5,4,4
NUVOCO,"11,745.08",-9.13,1.12,-,0.49,-1.72,16,HR,1,1,3,5,5,1
GPIL,"11,588.65",34.6,1.47,75.82,0.01,2.36,22,M,1,5,3,5,5,3
WELSPUNLIV,"11,581.53",-1.9,1.19,20.81,0.57,1.27,18,R,1,2,3,5,4,3
WESTLIFE,"11,570.77",12.22,0.89,9.67,2.32,0.45,16,HR,1,5,4,2,2,2
TITAGARH,"11,449.29",80.22,1.79,75.58,0.07,5.99,23,M,1,5,2,5,5,5
TECHNOE,"11,261.87",45.44,0.58,26.78,0,8.25,25,M,1,5,4,5,5,5
NSLNISP,"11,142.16",-,-,-,0.43,-2.59,18,R,1,5,1,5,5,1
ELECON,"10,869.93",61.46,1.61,94.84,0.04,4.79,22,M,1,5,2,5,5,4
J&KBANK,"10,692.48",26.62,1.67,38.43,0,4.8,22,M,1,5,2,5,5,4
CEATLTD,"10,666.08",29.04,0.8,20.91,0.44,24.01,25,M,1,5,4,5,5,5
LEMONTREE,"10,628.97",27.37,1.24,19.69,1.51,0.79,18,R,1,5,3,4,3,2
KSB,"10,616.39",34.82,1.14,33.85,0,3.55,23,M,1,5,3,5,5,4
HAPPSTMNDS,"10,436.04",-20.35,1.08,-,0.35,3.33,19,R,1,1,3,5,5,4
JUBLINGREA,"10,429.34",4.28,1.15,-,0.27,4.39,22,M,1,4,3,5,5,4
PVRINOX,"10,413.61",-17.53,1,-12.22,1.13,3.66,14,HR,1,1,4,1,3,4
KIRLOSENG,"10,390.68",52.71,1.39,38.91,1.56,4.91,21,M,1,5,3,5,3,4
RAILTEL,"10,372.73",39.52,1.07,-,0.02,2.03,22,M,1,5,3,5,5,3
GRINFRA,"10,356.05",-16.42,1.5,-,0.5,27.06,20,R,1,1,3,5,5,5
PRAJIND,"10,328.46",12.97,1.5,39.54,0.13,2.23,22,M,1,5,3,5,5,3
RITES,"10,275.31",15.31,0.55,6.11,0,2.08,20,R,1,5,4,2,5,3
SAMMAANCAP,"10,243.40",-18.51,2.48,-15.53,2.45,4.17,10,HR,1,1,1,1,2,4
INTELLECT,"10,182.12",-1.61,2.14,36.96,0.02,5.11,19,R,1,2,1,5,5,5
OLECTRA,"10,087.72",15.34,1.96,50.41,0.13,5.64,23,M,1,5,2,5,5,5
RBLBANK,"10,002.30",-3.21,1.76,-12.77,0,0.78,12,HR,1,1,2,1,5,2
SAREGAMA,"9,973.22",5.86,1.89,68.31,0,3.24,22,M,1,5,2,5,5,4
VIJAYA,"9,787.91",30.36,0.32,-,0.39,3.42,25,M,1,5,5,5,5,4
JMFINANCIL,"9,770.79",9.77,1.08,-2.34,1.47,2.19,16,HR,1,5,3,1,3,3
JPPOWER,"9,622.26",20.8,1.72,51.66,0.37,0.14,20,R,1,5,2,5,5,2
ZEEL,"9,599.43",-35.75,1.35,-15.87,0.02,1.7,14,HR,1,1,3,1,5,3
CRAFTSMAN,"9,573.48",16.24,1.54,-,1,-0.87,18,R,1,5,2,5,4,1
AVANTIFEED,"9,529.70",7.37,1.08,2.74,0.01,9.92,20,R,1,5,3,1,5,5
SAPPHIRE,"9,514.28",-3.39,-,-,0.87,0.37,14,HR,1,1,1,5,4,2
RAYMOND,"9,430.67",33.99,1.36,31.38,0.83,10.84,23,M,1,5,3,5,4,5
DATAPATTNS,"9,423.78",29.11,-,-,0,7.97,22,M,1,5,1,5,5,5
ENGINERSIN,"9,274.26",28.09,1.05,13.12,0.01,1.94,20,R,1,5,3,3,5,3
MMTC,"9,249.00",4.52,1.6,24.22,0.1,0.32,19,R,1,4,2,5,5,2
USHAMART,"9,203.21",39.2,1.13,64.66,0.15,3.04,23,M,1,5,3,5,5,4
SBFC,"9,198.10",-,-,-,1.44,0.82,17,R,1,5,1,5,3,2
QUESS,"9,083.31",-6.63,1.47,0.7,0.28,5.42,16,HR,1,1,3,1,5,5
MAPMYINDIA,"9,019.04",7.03,-,-,0.04,5.96,22,M,1,5,1,5,5,5
JKLAKSHMI,"8,897.62",11.32,0.93,16.76,0.62,5.05,23,M,1,5,4,4,4,5
CAMPUS,"8,880.98",-10.58,-,-,0.27,1.52,16,HR,1,1,1,5,5,3
RHIM,"8,844.46",-9.99,1.24,11.56,0.13,2.3,16,HR,1,1,3,3,5,3
GMDCLTD,"8,840.40",22.91,1.32,36.21,0,4.64,23,M,1,5,3,5,5,4
BALRAMCHIN,"8,825.15",0.55,0.79,20.67,0.59,3.49,21,M,1,3,4,5,4,4
ALKYLAMINE,"8,809.97",-23.29,1.2,22.72,0,8.56,20,R,1,1,3,5,5,5
METROPOLIS,"8,758.30",-9.78,0.81,-1.24,0.18,6.12,17,R,1,1,4,1,5,5
INDIACEM,"8,731.35",4.84,0.5,30.8,0.47,162.41,25,M,1,4,5,5,5,5
HOMEFIRST,"8,709.56",8.96,0.56,-,3.44,10.9,21,M,1,5,4,5,1,5
GRAPHITE,"8,588.71",-9.96,1.97,8.46,0.03,-1.03,12,HR,1,1,2,2,5,1
LATENTVIEW,"8,588.18",-11.83,-,-,0.02,2.03,16,HR,1,1,1,5,5,3
NETWEB,"8,505.73",-,-,-,0.02,5.38,22,M,1,5,1,5,5,5
INOXINDIA,"8,471.41",-,-,-,0.02,6.43,22,M,1,5,1,5,5,5
AKUMS,"8,425.97",-,-,-,0.78,4.26,20,R,1,5,1,5,4,4
ALOKINDS,"8,421.05",-13.17,2.09,-,-,-0.55,10,HR,1,1,1,5,1,1
GNFC,"8,400.60",-5.35,1.27,25.13,0,7.14,20,R,1,1,3,5,5,5
SYRMA,"8,308.15",13.47,-,-,0.38,2.74,20,R,1,5,1,5,5,3
MAHSEAMLES,"8,273.11",26.5,1.13,28.56,0,13.89,24,M,1,5,3,5,5,5
CANFINHOME,"8,141.04",-8.41,1.6,3.84,7.34,15.93,11,HR,1,1,2,1,1,5
MASTEK,"8,046.05",-7.16,1.78,44.4,0.25,30.68,19,R,1,1,2,5,5,5
JKTYRE,"8,042.49",27.53,1.2,32.92,1,1.88,21,M,1,5,3,5,4,3
CERA,"7,986.33",11.35,0.46,19.97,0.03,35.52,25,M,1,5,5,4,5,5
TRIVENI,"7,975.55",7.34,1.03,34.49,0.49,1.94,22,M,1,5,3,5,5,3
CCL,"7,958.26",3.25,0.68,19.27,0.97,4.73,21,M,1,4,4,4,4,4
GSFC,"7,908.98",9.79,1.44,21.81,0,3.36,23,M,1,5,3,5,5,4
BIRLACORPN,"7,908.45",-8.39,1.12,6.75,0.58,4.06,15,HR,1,1,3,2,4,4
RCF,"7,797.01",16.79,1.55,26.58,0.72,1.45,20,R,1,5,2,5,4,3
VARROC,"7,760.79",5.68,1.88,3.26,0.91,-3.1,14,HR,1,5,2,1,4,1
SCI,"7,599.98",18.21,1.12,29.25,0.39,1.62,22,M,1,5,3,5,5,3
NETWORK18,"7,591.27",-17.57,1.13,10.34,0.29,-9.38,14,HR,1,1,3,3,5,1
DBREALTY,"7,497.59",16.17,0.82,72.18,0.42,0.08,22,M,1,5,4,5,5,2
HONASA,"7,496.61",-,-,-,0.12,0.8,19,R,1,5,1,5,5,2
CHENNPETRO,"7,471.63",58.43,1.13,34.3,0.25,1.4,22,M,1,5,3,5,5,3
KNRCON,"7,326.16",-9.29,0.98,13.09,0.36,15.7,19,R,1,1,4,3,5,5
EQUITASBNK,"7,252.17",5.47,0.8,-,0,0.58,22,M,1,5,4,5,5,2
TANLA,"7,152.22",-41.66,1.99,44.53,0.04,8.82,19,R,1,1,2,5,5,5
PNCINFRA,"7,079.20",-4.39,1.52,6.39,1.55,3.17,13,HR,1,1,2,2,3,4
JUSTDIAL,"6,962.25",-1.53,1.39,9.69,0.02,13.61,18,R,1,2,3,2,5,5
ROUTE,"6,919.92",-14.32,1.07,-,0.17,13.1,20,R,1,1,3,5,5,5
RENUKA,"6,785.63",-3.33,1.25,32.52,-,-0.96,12,HR,1,1,3,5,1,1
CHEMPLASTS,"6,722.82",-9.19,1.15,-,0.91,-3.06,15,HR,1,1,3,5,4,1
RTNINDIA,"6,713.88",-5.81,1.08,75.15,1.4,-1.23,14,HR,1,1,3,5,3,1
HEG,"6,615.27",4.1,2.06,10.45,0.14,4.32,18,R,1,4,1,3,5,4
UJJIVANSFB,"6,568.59",17.72,1.21,-9.1,0,0.56,17,R,1,5,3,1,5,2
GPPL,"6,514.84",6.91,0.67,10.73,0.03,2.06,21,M,1,5,4,3,5,3
SWSOLAR,"6,424.60",-8.52,2.39,0,0.54,0.64,10,HR,1,1,1,1,4,2
TVSSCS,"6,167.46",-,-,-,1.19,-0.56,16,HR,1,5,1,5,3,1
ACI,"5,575.85",-7.38,-,-,0.06,3.89,17,R,1,1,1,5,5,4
MAHLIFE,"5,561.45",-1.09,1.22,22.13,0.47,-1.45,17,R,1,2,3,5,5,1
GAEL,"5,200.41",5.17,0.73,24.31,0.07,1.56,23,M,1,5,4,5,5,3
VIPIND,"4,977.79",-21.61,1.17,-5.63,1.29,-0.88,10,HR,1,1,3,1,3,1
BALAMINES,"4,912.64",-29.34,2.03,30.37,0.01,10.24,18,R,1,1,1,5,5,5
RAJESHEXPO,"4,872.38",-50.67,0.5,-25.41,0.04,1.54,16,HR,1,1,5,1,5,3
SPARC,"4,687.39",-27.34,1.53,-2.99,0.49,-2.45,11,HR,1,1,2,1,5,1
EASEMYTRIP,"4,337.96",-13.88,1.5,-,0.03,0.08,17,R,1,1,3,5,5,2
